turns,max_tiles,min_tiles,piece_distributions
134,7,-4,"{0: 384, 2: 204, 4: 145, 8: 144, 16: 82, -2: 95, -4: 24, 32: 52, 64: 60, 128: 16}"
141,6,-2,"{0: 393, 2: 231, -2: 88, 4: 182, 8: 134, 16: 103, -4: 5, 32: 84, 64: 49}"
234,7,-2,"{2: 399, 0: 615, -2: 142, 4: 224, 8: 218, 16: 189, -4: 26, 32: 87, 64: 100, -8: 4, 128: 102}"
92,6,-4,"{0: 270, 2: 171, 4: 102, -2: 33, 8: 94, 16: 71, 32: 55, -4: 1, 64: 31}"
68,5,-2,"{0: 227, -2: 42, 2: 107, 4: 84, 8: 52, 16: 64, 32: 36}"
147,6,-2,"{0: 432, 2: 237, -2: 97, 4: 149, 8: 129, 16: 87, 32: 91, 64: 92, -4: 9}"
154,7,2,"{0: 424, 2: 238, -2: 94, 4: 197, 8: 148, 16: 91, 32: 86, -4: 19, 64: 65, 128: 24}"
150,6,-2,"{0: 478, 2: 205, 4: 185, -2: 96, 8: 157, 16: 101, -4: 3, 32: 67, 64: 58}"
137,6,-4,"{0: 477, -2: 106, 2: 187, -4: 17, 4: 135, 8: 118, 16: 77, 32: 60, 64: 56}"
148,6,2,"{2: 203, 0: 529, -2: 100, 4: 153, 8: 111, -4: 19, 16: 53, 32: 85, 64: 77, -8: 2}"
212,7,2,"{0: 692, -2: 141, 4: 200, 2: 295, -4: 29, 8: 164, 16: 167, 32: 100, -8: 1, 64: 66, 128: 53}"
172,7,-2,"{0: 551, 2: 248, 4: 174, -2: 104, 8: 157, -4: 5, 16: 116, 32: 93, 64: 66, 128: 34}"
197,7,2,"{0: 556, -2: 122, 4: 228, 2: 296, 8: 169, -4: 9, 16: 142, 32: 107, 64: 83, 128: 61}"
145,6,-2,"{-2: 111, 0: 451, 2: 216, 4: 162, 8: 123, -4: 10, 16: 98, 32: 67, 64: 67}"
126,6,-2,"{0: 435, 2: 200, -2: 94, 4: 139, 8: 96, 16: 70, -4: 12, 32: 51, 64: 37}"
105,6,-2,"{0: 359, -2: 61, 2: 156, -4: 9, 4: 148, 8: 66, 16: 65, 32: 32, 64: 49}"
192,7,-2,"{0: 550, -2: 136, 2: 294, -4: 8, 4: 241, 8: 177, 16: 97, 32: 88, 64: 97, 128: 40}"
108,6,2,"{-2: 60, 0: 337, 2: 176, -4: 17, 4: 118, 8: 116, 16: 75, 32: 42, 64: 31}"
138,6,-2,"{0: 400, 4: 144, 2: 228, 8: 105, -2: 101, 16: 95, 32: 109, -4: 12, 64: 48}"
77,5,2,"{0: 232, 2: 115, 4: 102, 8: 71, 16: 61, -2: 46, 32: 57, -4: 9}"
101,6,-4,"{0: 340, -2: 67, 2: 170, 4: 112, 8: 89, 16: 44, 32: 39, 64: 47, -4: 1}"
102,6,2,"{0: 370, 2: 152, -2: 59, 4: 103, 8: 85, -4: 5, 16: 70, 32: 50, 64: 24}"
215,7,2,"{2: 307, 0: 649, 4: 238, -2: 138, 8: 186, -4: 27, 16: 144, 32: 120, 64: 51, 128: 75}"
211,7,-2,"{0: 621, 2: 328, -2: 163, 4: 244, 8: 186, 16: 89, 32: 107, -4: 17, 64: 79, 128: 65}"
146,6,-2,"{0: 486, -2: 103, 2: 222, -4: 33, 4: 169, 8: 103, 16: 58, 32: 86, 64: 54}"
240,7,-4,"{0: 719, -2: 164, 4: 268, 2: 370, -4: 31, 8: 190, 16: 145, 32: 65, 64: 91, 128: 117}"
88,6,2,"{0: 326, -2: 64, 2: 123, -4: 15, 4: 96, 8: 79, 16: 32, 32: 30, 64: 27}"
93,5,2,"{0: 329, 2: 116, -2: 77, 4: 111, 8: 92, 16: 73, -4: 9, 32: 30}"
145,6,2,"{0: 513, -2: 86, 2: 206, 4: 156, 8: 108, 16: 72, 32: 65, 64: 93, -4: 6}"
105,6,-4,"{0: 368, 2: 164, 4: 114, -2: 60, -4: 5, 8: 101, 16: 68, 32: 33, 64: 32}"
260,7,-8,"{0: 718, 2: 382, -2: 175, 4: 240, 8: 199, 16: 203, -4: 44, 32: 161, 64: 90, 128: 110, -8: 18}"
215,7,2,"{0: 492, 2: 325, 4: 287, -2: 112, 8: 197, 16: 162, 32: 147, -4: 22, 64: 99, 128: 92}"
208,7,-4,"{0: 620, 2: 309, 4: 212, -2: 136, 8: 182, 16: 155, -4: 24, 32: 118, 64: 67, 128: 49}"
70,5,-4,"{0: 256, 2: 93, -2: 58, 4: 82, 8: 61, 16: 48, -4: 13, 32: 19}"
188,7,-2,"{0: 549, -2: 115, -4: 24, 2: 260, 4: 262, 8: 207, 16: 119, 32: 44, 64: 56, 128: 56}"
113,6,-4,"{0: 360, 2: 191, 4: 147, -2: 75, 8: 94, -4: 6, 16: 61, 32: 48, 64: 35}"
122,6,-2,"{0: 380, -2: 68, 2: 202, 4: 126, -4: 6, 8: 92, 16: 105, 32: 61, 64: 58}"
48,5,-4,"{0: 197, -2: 36, 2: 62, 4: 42, -4: 10, 8: 38, 16: 25, 32: 22}"
76,5,-2,"{2: 141, 0: 234, -2: 40, 4: 89, 8: 43, 16: 65, 32: 71, -4: 1}"
253,7,2,"{0: 892, -2: 188, 2: 342, 4: 222, 8: 163, 16: 182, -4: 22, 32: 106, 64: 81, 128: 79}"
244,7,-2,"{0: 701, 2: 376, 4: 308, -2: 176, 8: 204, -4: 23, 16: 155, 32: 102, 64: 77, 128: 74}"
263,7,-2,"{0: 789, -2: 188, 2: 390, -4: 34, 4: 283, 8: 189, 16: 165, 32: 141, 64: 117, 128: 70, -8: 1}"
178,7,2,"{0: 512, 2: 278, 4: 240, -2: 96, 8: 157, 16: 116, -4: 4, 32: 90, 64: 44, 128: 65}"
266,7,2,"{2: 430, 0: 725, -2: 179, 4: 322, 8: 243, -4: 22, 16: 89, 32: 150, 64: 112, 128: 122}"
138,7,2,"{0: 431, 2: 226, 4: 146, -2: 79, 8: 139, 16: 75, -4: 3, 32: 58, 64: 65, 128: 20}"
131,6,2,"{2: 203, 0: 395, -2: 82, 4: 149, 8: 120, 16: 76, -4: 20, 32: 66, 64: 68}"
189,7,-2,"{0: 499, 2: 277, 4: 184, 8: 163, -2: 133, 16: 180, 32: 86, 64: 91, -4: 36, 128: 52}"
122,6,-2,"{4: 160, 0: 330, 2: 197, 8: 88, -2: 70, 16: 106, -4: 13, 32: 71, 64: 63}"
78,6,2,"{0: 228, 4: 108, 2: 140, -2: 33, 8: 71, 16: 65, 32: 39, 64: 18}"
98,6,2,"{0: 367, 2: 168, 4: 104, -2: 67, 8: 74, 16: 42, 32: 31, 64: 29}"
