turns,max_tiles,min_tiles,piece_distributions
25,4,-1,"{0: 91, 1: 51, 2: 38, -1: 19, 3: 30, 4: 5}"
60,5,1,"{0: 183, 1: 109, 2: 75, 3: 48, -1: 42, 4: 38, -2: 19, 5: 35}"
54,5,-2,"{0: 201, 1: 95, -1: 53, 2: 71, -2: 20, 3: 24, 4: 21, 5: 10}"
97,5,1,"{0: 234, -1: 95, 1: 180, 2: 141, 3: 118, 4: 62, -2: 15, -3: 2, 5: 35}"
63,5,1,"{0: 184, -1: 49, 1: 112, 2: 90, 3: 86, 4: 34, -2: 6, -3: 1, 5: 14}"
121,5,-3,"{2: 101, 0: 353, 1: 176, -1: 148, 3: 111, -2: 67, 4: 71, -3: 21, 5: 50}"
86,5,1,"{0: 224, 1: 174, 2: 102, -1: 86, 3: 77, 4: 61, -2: 30, 5: 29}"
134,6,-1,"{0: 396, 1: 250, 2: 156, -1: 134, 3: 104, -2: 49, -3: 1, 4: 67, 5: 30, 6: 28}"
76,5,-1,"{0: 279, -1: 76, 1: 130, 2: 96, -2: 25, 3: 41, 4: 29, 5: 17}"
53,5,-2,"{0: 179, -1: 32, 2: 86, 1: 101, -2: 5, 3: 35, 4: 40, 5: 8}"
42,5,-1,"{1: 108, 0: 86, 2: 82, 3: 49, -1: 26, 4: 26, -2: 1, 5: 9}"
48,4,-2,"{0: 171, -1: 52, 2: 46, 1: 85, 3: 48, -2: 10, -3: 5, 4: 24}"
116,6,-1,"{0: 252, 2: 172, -1: 121, 1: 226, 3: 112, 4: 59, -2: 30, 5: 43, 6: 38}"
16,3,-1,"{0: 65, 1: 30, 2: 30, 3: 23, -1: 5}"
50,5,-2,"{0: 150, 1: 97, 2: 56, -1: 47, 3: 51, 4: 33, -2: 16, 5: 9}"
122,6,-1,"{0: 299, 1: 222, -1: 112, 2: 225, -2: 22, 3: 84, 4: 66, 5: 37, 6: 40}"
46,5,1,"{0: 118, 1: 114, 2: 81, 3: 44, -1: 22, 4: 39, 5: 5}"
60,5,-1,"{1: 109, 0: 121, 2: 105, -1: 60, 3: 87, -2: 1, 4: 34, 5: 32}"
112,5,-1,"{1: 170, 0: 381, -1: 150, 2: 127, -2: 38, 3: 59, 4: 43, 5: 49}"
52,5,-1,"{0: 191, 1: 95, -1: 57, 2: 78, 3: 26, -2: 1, 4: 4, 5: 25}"
59,4,-2,"{0: 163, -1: 68, 2: 52, -2: 28, 1: 102, 3: 86, 4: 41}"
78,5,-2,"{0: 211, -1: 101, 1: 118, -2: 38, 2: 98, 3: 71, 4: 37, 5: 34, -3: 3}"
100,6,-2,"{0: 236, 1: 186, 2: 117, -1: 94, 3: 97, -2: 25, 4: 91, 5: 56, 6: 7}"
59,5,1,"{0: 151, 1: 107, 2: 104, -1: 61, 3: 68, -2: 7, 4: 22, 5: 20}"
36,4,-1,"{0: 115, 2: 69, -1: 25, 1: 71, 3: 31, -2: 5, 4: 17}"
57,5,-1,"{-1: 45, 0: 166, 1: 94, 2: 94, 3: 53, -2: 12, 4: 38, 5: 20}"
48,5,1,"{0: 121, 1: 115, 2: 73, 3: 76, -1: 25, -2: 5, 4: 12, 5: 14}"
61,5,-4,"{0: 188, 1: 117, -1: 58, 2: 84, 3: 29, 4: 34, 5: 21, -2: 12, -3: 7, -4: 8}"
50,5,1,"{1: 118, 0: 141, 2: 80, -1: 28, 3: 45, 4: 30, 5: 17}"
75,5,-2,"{0: 201, 1: 157, 2: 92, -1: 82, 3: 58, 4: 69, -2: 7, 5: 18}"
49,5,-1,"{0: 171, -1: 54, 1: 70, -2: 8, 2: 73, 3: 35, 4: 18, 5: 21}"
69,5,-2,"{0: 200, -1: 93, 2: 66, -2: 33, 1: 93, 3: 74, 4: 44, 5: 27}"
62,5,1,"{-1: 39, 0: 153, 1: 139, -2: 14, 2: 94, 3: 70, 4: 37, 5: 21}"
123,6,1,"{0: 289, 1: 227, 2: 182, -1: 111, 3: 136, 4: 57, -2: 23, 5: 43, 6: 48}"
12,3,-1,"{0: 51, 1: 35, 2: 20, 3: 10, -1: 1}"
120,6,-1,"{0: 319, 1: 182, 2: 143, 3: 107, -1: 131, -2: 58, 4: 68, 5: 48, 6: 33}"
114,5,-1,"{0: 286, -1: 153, 1: 165, -2: 37, 2: 131, 3: 124, 4: 99, 5: 40}"
77,4,-1,"{0: 266, 2: 73, -1: 95, -2: 18, 1: 117, 3: 58, 4: 75}"
55,5,-1,"{0: 172, 1: 93, -1: 47, 2: 80, 3: 47, 4: 41, 5: 21, -2: 3}"
48,5,-1,"{0: 178, -1: 34, 1: 89, -2: 5, 2: 70, 3: 46, 4: 18, 5: 1}"
41,4,-2,"{1: 80, -1: 47, 0: 121, 2: 69, 3: 31, -2: 8, 4: 22}"
31,4,-2,"{0: 134, 1: 51, 2: 31, -1: 22, -2: 21, 3: 22, 4: 7}"
80,5,-1,"{2: 107, 0: 205, 1: 146, -1: 81, 3: 48, 4: 62, -2: 26, 5: 47, -3: 7}"
65,5,-1,"{0: 140, -1: 66, 1: 129, 2: 135, 3: 65, 4: 27, -2: 1, 5: 31}"
50,5,-1,"{0: 153, 1: 99, -1: 35, 2: 68, -2: 12, 3: 55, 4: 18, 5: 19}"
