turns,max_tiles,min_tiles,piece_distributions
84,5,-2,"{-2: 1, 4: 2, 2: 3, 8: 2, 32: 1}"
47,5,-2,"{-2: 1, 4: 2, 2: 3, 32: 1, 16: 1, 8: 1}"
111,6,-2,"{2: 1, 8: 2, 4: 3, 64: 1, 16: 1, -2: 1}"
71,5,-2,"{32: 2, 4: 3, -2: 3, 8: 1}"
126,6,-2,"{8: 1, 2: 2, 64: 1, 4: 2, 16: 1, 32: 1, -2: 1}"
69,5,-2,"{2: 3, 32: 1, -2: 1, 4: 3, 16: 1}"
81,5,-4,"{-2: 2, 8: 3, -4: 2, 32: 1, 2: 1}"
80,6,-2,"{2: 3, 64: 1, 16: 1, 8: 1, 4: 2, -2: 1}"
21,4,-2,"{4: 3, -2: 2, 16: 1, 2: 2, 8: 1}"
67,5,-2,"{-2: 3, 4: 2, 32: 1, 16: 1, 8: 2}"
57,5,2,"{2: 4, 8: 2, 4: 1, 16: 1, 32: 1}"
66,5,-4,"{-2: 3, 16: 1, 2: 2, -4: 1, 32: 1, 8: 1}"
58,5,-2,"{4: 3, 16: 1, 2: 2, 32: 1, 8: 1, -2: 1}"
65,5,-4,"{2: 2, 4: 1, -4: 2, 8: 2, -2: 1, 32: 1}"
34,4,-2,"{-2: 3, 4: 2, 16: 1, 8: 2, 2: 1}"
85,5,-2,"{4: 2, 32: 1, 2: 2, -2: 1, 16: 2, 8: 1}"
30,4,-2,"{-2: 3, 8: 1, 4: 3, 16: 2}"
84,5,-4,"{4: 3, -2: 2, 16: 1, 8: 1, 32: 1, -4: 1}"
83,6,-2,"{4: 4, -2: 2, 16: 1, 8: 1, 64: 1}"
35,5,-2,"{-2: 2, 32: 1, 2: 3, 8: 2, 4: 1}"
41,5,-2,"{8: 2, 4: 3, 2: 2, 32: 1, -2: 1}"
77,5,2,"{4: 1, 8: 2, 2: 3, 16: 2, 32: 1}"
63,5,-8,"{4: 4, 2: 2, -8: 1, 8: 1, 32: 1}"
34,4,-2,"{2: 3, 8: 3, -2: 2, 16: 1}"
33,4,2,"{2: 4, 8: 2, 4: 2, 16: 1}"
54,4,-8,"{16: 2, 4: 2, 2: 1, -8: 1, -2: 2, 8: 1}"
34,4,-4,"{2: 2, 4: 3, 8: 1, 16: 1, -4: 1, -2: 1}"
